feedback_id,customer_id,product_id,channel,feedback_date,text,true_themes,true_aspect_sentiments,true_overall_sentiment,predicted_sentiment,sentiment_confidence,detected_aspects,n_aspects_detected,dominant_true_theme,discovered_topic_id,discovered_topic_label,lifetime_value,tier,base_churn_prob,repeat_negative_count,primary_theme,theme_severity,theme_label_primary,sentiment_severity_score,customer_value_score,churn_risk_score,issue_growth_score,repeat_complaint_score,priority_score,priority_tier,inferred_themes
FB-0000062,CUST-000506,PROD-0084,review,2024-01-01,The agent couldn't resolve my issue at all But refund still hasn't shown up after almost two weeks.,customer_support|refund_problems,customer_support:negative|refund_problems:negative,negative,negative,1.0,Customer Support:Negative|Refunds:Negative,2,customer_support,4,Refund Problems,378.95,Bronze,0.28,0,customer_support,0.55,Customer Service,1.0,0.5495708333333333,0.42,0.0,0.0,50.5,High,customer_support|refund_problems
FB-0000025,CUST-001363,PROD-0115,chat,2024-01-01,"Packaging was standard, nothing notable.",packaging,packaging:neutral,neutral,neutral,1.0,Packaging:Neutral,1,packaging,0,Packaging,661.78,Gold,0.1,0,packaging,0.3,Packaging,0.35,0.7151333333333333,0.1,0.0,0.0,27.0,Medium,packaging
FB-0000067,CUST-007314,PROD-0052,survey,2024-01-01,The product is about what i expected But payment processing took a bit longer than usual.,product_quality|payment_issue_general,product_quality:neutral|payment_issue_general:neutral,neutral,neutral,1.0,Product Quality:Neutral|Payment:Neutral,2,product_quality,2,Payment Issues,143.82,Bronze,0.28,0,product_quality,0.65,Product Quality,0.35,0.2098458333333333,0.28,0.0,0.0,29.1,Medium,product_quality|payment_issue_general
FB-0000049,CUST-001612,PROD-0087,chat,2024-01-01,"Delivery took way longer than promised However, it broke after just a few uses.",delivery_delay|product_quality,delivery_delay:negative|product_quality:negative,negative,negative,1.0,Delivery:Negative|Product Quality:Negative,2,delivery_delay,2,Payment Issues,2473.4,Gold,0.1,0,delivery_delay,0.45,Delivery Delay,1.0,0.9361416666666666,0.15,0.0,0.0,50.3,High,delivery_delay|product_quality
FB-0000002,CUST-002996,PROD-0150,review,2024-01-01,Refund still hasn't shown up after almost two weeks.,refund_problems,refund_problems:negative,negative,negative,1.0,Refunds:Negative,1,refund_problems,4,Refund Problems,590.46,Silver,0.18,0,refund_problems,0.75,Refund Problems,1.0,0.6879625,0.27,0.0,0.0,54.4,High,refund_problems
FB-0000051,CUST-003555,PROD-0086,review,2024-01-01,"Pricing is fair, about what i'd expect On top of that, loved how fast and intuitive the website was.",pricing|app_performance,pricing:neutral|app_performance:positive,neutral,neutral,0.973,Pricing:Neutral|App/Website:Positive,2,pricing,8,Pricing,146.12,Bronze,0.28,0,pricing,0.35,Pricing,0.3405499999999999,0.2193041666666666,0.28,0.0,0.0,23.0,Low,pricing|app_performance
FB-0000091,CUST-005124,PROD-0066,survey,2024-01-01,The product quality feels cheap and flimsy.,product_quality,product_quality:negative,negative,negative,1.0,Product Quality:Negative,1,product_quality,9,Product Quality,387.01,Silver,0.18,0,product_quality,0.65,Product Quality,1.0,0.5562666666666667,0.27,0.0,0.0,50.4,High,product_quality
FB-0000056,CUST-006768,PROD-0055,survey,2024-01-01,"Really impressed with how well it's made However, really appreciated how patient the support team was On top of that, the price feels way too high for what you get.",product_quality|customer_support|pricing,product_quality:positive|customer_support:positive|pricing:negative,positive,positive,0.951,Product Quality:Positive|Customer Support:Positive|Pricing:Negative,3,product_quality,6,Customer Service,1663.35,Gold,0.1,0,product_quality,0.65,Product Quality,0.0,0.8963333333333333,0.1,0.0,0.0,27.9,Medium,product_quality|customer_support|pricing
FB-0000033,CUST-004396,PROD-0026,survey,2024-01-01,Great value for the price.,pricing,pricing:positive,positive,positive,0.999,Pricing:Positive,1,pricing,8,Pricing,2448.45,Gold,0.1,0,pricing,0.35,Pricing,0.0,0.9354458333333332,0.1,0.0,0.0,22.5,Low,pricing
FB-0000110,CUST-005089,PROD-0146,survey,2024-01-01,"I waited on hold for over an hour In addition, would love to see more size options for this item.",customer_support|feature_request,customer_support:negative|feature_request:neutral,negative,negative,0.976,Customer Support:Negative|Feature Requests:Neutral,2,customer_support,5,Delivery Delay,246.6,Bronze,0.28,0,customer_support,0.55,Customer Service,0.976,0.4290125,0.42,0.0,0.0,48.1,High,customer_support|feature_request
FB-0000005,CUST-004797,PROD-0102,support_ticket,2024-01-01,Delivery estimate was completely wrong.,delivery_delay,delivery_delay:negative,negative,negative,1.0,Delivery:Negative,1,delivery_delay,5,Delivery Delay,1408.36,Gold,0.1,0,delivery_delay,0.45,Delivery Delay,1.0,0.8686375,0.15,0.0,0.0,49.3,High,delivery_delay
FB-0000069,CUST-007349,PROD-0040,support_ticket,2024-01-01,"The app freezes whenever i open my order history In addition, refund was processed quickly and without hassle Also, my package arrived over a week late.",app_performance|refund_problems|delivery_delay,app_performance:negative|refund_problems:positive|delivery_delay:negative,negative,negative,1.0,Delivery:Negative|Refunds:Positive|App/Website:Negative,3,app_performance,4,Refund Problems,896.41,Gold,0.1,0,delivery_delay,0.45,Delivery Delay,1.0,0.7844125,0.15,0.0,0.0,48.0,High,delivery_delay|refund_problems|app_performance
FB-0000012,CUST-004067,PROD-0137,review,2024-01-01,Delivery was faster than expected.,delivery_delay,delivery_delay:positive,positive,positive,1.0,Delivery:Positive,1,delivery_delay,3,Product Quality,183.38,Bronze,0.28,0,delivery_delay,0.45,Delivery Delay,0.0,0.3154041666666666,0.28,0.0,0.0,17.9,Low,delivery_delay
FB-0000060,CUST-006362,PROD-0047,support_ticket,2024-01-01,I was charged in the wrong currency.,payment_issue_general,payment_issue_general:negative,negative,negative,1.0,Payment:Negative,1,payment_issue_general,5,Delivery Delay,113.93,Bronze,0.28,0,payment_issue_general,0.7,Payment Issues,1.0,0.1133625,0.42,0.0,0.0,47.0,High,payment_issue_general
FB-0000083,CUST-002779,PROD-0142,chat,2024-01-01,The product is about what i expected.,product_quality,product_quality:neutral,neutral,neutral,1.0,Product Quality:Neutral,1,product_quality,3,Product Quality,121.29,Bronze,0.28,0,product_quality,0.65,Product Quality,0.35,0.1372625,0.28,0.0,0.0,28.0,Medium,product_quality
FB-0000082,CUST-007068,PROD-0032,review,2024-01-01,I keep getting logged out randomly on the app.,app_performance,app_performance:negative,negative,negative,1.0,App/Website:Negative,1,app_performance,7,App Performance,404.35,Silver,0.18,0,app_performance,0.5,App Performance,1.0,0.5696916666666667,0.27,0.0,0.0,47.6,High,app_performance
FB-0000048,CUST-007824,PROD-0094,review,2024-01-01,Shipping took the usual amount of time.,delivery_delay,delivery_delay:neutral,neutral,neutral,1.0,Delivery:Neutral,1,delivery_delay,2,Payment Issues,587.01,Silver,0.18,0,delivery_delay,0.45,Delivery Delay,0.35,0.6863958333333333,0.18,0.0,0.0,30.7,Medium,delivery_delay
FB-0000080,CUST-005198,PROD-0023,chat,2024-01-01,The product is about what i expected.,product_quality,product_quality:neutral,neutral,neutral,1.0,Product Quality:Neutral,1,product_quality,3,Product Quality,102.67,Bronze,0.28,0,product_quality,0.65,Product Quality,0.35,0.0780166666666666,0.28,0.0,0.0,27.1,Medium,product_quality
FB-0000018,CUST-007881,PROD-0020,chat,2024-01-01,Delivery arrived close to the estimated date.,delivery_delay,delivery_delay:neutral,neutral,neutral,1.0,Delivery:Neutral,1,delivery_delay,5,Delivery Delay,4136.89,Platinum,0.05,0,delivery_delay,0.45,Delivery Delay,0.35,0.9748125,0.05,0.0,0.0,33.1,Medium,delivery_delay
FB-0000113,CUST-003817,PROD-0120,review,2024-01-01,Payment processing took a bit longer than usual.,payment_issue_general,payment_issue_general:neutral,neutral,neutral,1.0,Payment:Neutral,1,payment_issue_general,2,Payment Issues,192.04,Bronze,0.28,0,payment_issue_general,0.7,Payment Issues,0.35,0.3337416666666666,0.28,0.0,0.0,32.0,Medium,payment_issue_general
FB-0000058,CUST-006677,PROD-0133,survey,2024-01-01,"Packaging was standard, nothing notable However, the app is smooth and easy to use But customer service was okay, nothing memorable.",packaging|app_performance|customer_support,packaging:neutral|app_performance:positive|customer_support:neutral,neutral,neutral,1.0,Customer Support:Neutral|App/Website:Positive|Packaging:Neutral,3,packaging,7,App Performance,81.49,Bronze,0.28,0,customer_support,0.55,Customer Service,0.35,0.0270333333333333,0.28,0.0,0.0,24.4,Low,customer_support|app_performance|packaging
FB-0000041,CUST-004247,PROD-0094,support_ticket,2024-01-01,The support agent resolved my issue in minutes.,customer_support,customer_support:positive,positive,positive,0.997,Customer Support:Positive,1,customer_support,6,Customer Service,354.41,Silver,0.18,0,customer_support,0.55,Customer Service,0.0,0.5285041666666667,0.18,0.0,0.0,21.6,Low,customer_support
FB-0000118,CUST-004764,PROD-0024,review,2024-01-01,The app keeps crashing every time i try to check out.,app_performance,app_performance:negative,negative,negative,1.0,App/Website:Negative,1,app_performance,7,App Performance,266.0,Bronze,0.28,0,app_performance,0.5,App Performance,1.0,0.4507333333333333,0.42,0.0,0.0,48.1,High,app_performance
FB-0000121,CUST-005584,PROD-0116,review,2024-01-01,"Pricing is fair, about what i'd expect However, packaging was flimsy and the box was crushed.",pricing|packaging,pricing:neutral|packaging:negative,negative,negative,0.984,Pricing:Neutral|Packaging:Negative,2,pricing,8,Pricing,145.56,Bronze,0.28,0,pricing,0.35,Pricing,0.984,0.2170958333333333,0.42,0.0,0.0,41.2,Medium,pricing|packaging
FB-0000098,CUST-000745,PROD-0068,survey,2024-01-01,"Customer support was fast and genuinely helpful Also, the checkout page kept rejecting my card for no reason.",customer_support|payment_issue_general,customer_support:positive|payment_issue_general:negative,negative,negative,0.981,Customer Support:Positive|Payment:Negative,2,customer_support,6,Customer Service,228.72,Bronze,0.28,0,customer_support,0.55,Customer Service,0.981,0.4024125,0.42,0.0,0.0,47.9,High,customer_support|payment_issue_general
FB-0000070,CUST-001172,PROD-0065,support_ticket,2024-01-01,Refund was processed quickly and without hassle.,refund_problems,refund_problems:positive,positive,positive,1.0,Refunds:Positive,1,refund_problems,4,Refund Problems,378.9,Silver,0.18,0,refund_problems,0.75,Refund Problems,0.0,0.5493875,0.18,0.0,0.0,25.9,Medium,refund_problems
FB-0000055,CUST-000176,PROD-0004,support_ticket,2024-01-01,Delivery was faster than expected.,delivery_delay,delivery_delay:positive,positive,positive,1.0,Delivery:Positive,1,delivery_delay,3,Product Quality,274.01,Silver,0.18,0,delivery_delay,0.45,Delivery Delay,0.0,0.4582375,0.18,0.0,0.0,18.6,Low,delivery_delay
FB-0000030,CUST-003215,PROD-0102,support_ticket,2024-01-01,The product is about what i expected But the item wasn't protected well and got scratched in transit.,product_quality|packaging,product_quality:neutral|packaging:negative,negative,negative,0.993,Product Quality:Neutral|Packaging:Negative,2,product_quality,3,Product Quality,335.11,Silver,0.18,0,product_quality,0.65,Product Quality,0.993,0.5158625,0.27,0.0,0.0,49.6,High,product_quality|packaging
FB-0000016,CUST-002359,PROD-0019,review,2024-01-01,"The app works fine most of the time However, build quality feels premium and durable.",app_performance|product_quality,app_performance:neutral|product_quality:positive,neutral,neutral,0.984,Product Quality:Positive|App/Website:Neutral,2,app_performance,9,Product Quality,1652.09,Gold,0.1,0,product_quality,0.65,Product Quality,0.3444,0.8951666666666667,0.1,0.0,0.0,36.5,Medium,product_quality|app_performance
FB-0000088,CUST-000871,PROD-0111,survey,2024-01-01,The app freezes whenever i open my order history.,app_performance,app_performance:negative,negative,negative,1.0,App/Website:Negative,1,app_performance,7,App Performance,96.07,Bronze,0.28,0,app_performance,0.5,App Performance,1.0,0.0583125,0.42,0.0,0.0,42.2,Medium,app_performance
FB-0000081,CUST-004983,PROD-0057,survey,2024-01-01,Payment processing took a bit longer than usual.,payment_issue_general,payment_issue_general:neutral,neutral,neutral,1.0,Payment:Neutral,1,payment_issue_general,2,Payment Issues,151.36,Bronze,0.28,0,payment_issue_general,0.7,Payment Issues,0.35,0.2359,0.28,0.0,0.0,30.5,Medium,payment_issue_general
FB-0000017,CUST-001246,PROD-0126,survey,2024-01-01,"The app freezes whenever i open my order history In addition, the product quality is excellent.",app_performance|product_quality,app_performance:negative|product_quality:positive,negative,negative,0.995,Product Quality:Positive|App/Website:Negative,2,app_performance,9,Product Quality,411.01,Silver,0.18,0,product_quality,0.65,Product Quality,0.995,0.5750791666666667,0.27,0.0,0.0,50.6,High,product_quality|app_performance
FB-0000020,CUST-007739,PROD-0070,support_ticket,2024-01-01,"Loved how fast and intuitive the website was Also, support answered but it took a while.",app_performance|customer_support,app_performance:positive|customer_support:neutral,neutral,neutral,0.974,Customer Support:Neutral|App/Website:Positive,2,app_performance,6,Customer Service,271.32,Bronze,0.28,0,customer_support,0.55,Customer Service,0.3409,0.455525,0.28,0.0,0.0,30.6,Medium,customer_support|app_performance
FB-0000132,CUST-003328,PROD-0062,support_ticket,2024-01-01,"An okay experience overall, nothing stood out In addition, pricing is fair, about what I'd expect.",general_satisfaction|pricing,general_satisfaction:neutral|pricing:neutral,neutral,neutral,1.0,Pricing:Neutral,1,general_satisfaction,8,Pricing,333.69,Silver,0.18,0,pricing,0.35,Pricing,0.35,0.5145208333333333,0.18,0.0,0.0,26.2,Medium,pricing|general_satisfaction
FB-0000077,CUST-007422,PROD-0047,support_ticket,2024-01-01,"The item arrived damaged Also, shipping was delayed with no updates.",product_quality|delivery_delay,product_quality:negative|delivery_delay:negative,negative,negative,1.0,Delivery:Negative|Product Quality:Negative,2,product_quality,5,Delivery Delay,187.29,Bronze,0.28,0,delivery_delay,0.45,Delivery Delay,1.0,0.3239833333333333,0.42,0.0,0.0,45.2,High,delivery_delay|product_quality
FB-0000124,CUST-005842,PROD-0004,survey,2024-01-01,"Shipping was delayed with no updates Also, customer service was okay, nothing memorable On top of that, refund request was denied for no clear reason.",delivery_delay|customer_support|refund_problems,delivery_delay:negative|customer_support:neutral|refund_problems:negative,negative,negative,1.0,Delivery:Negative|Customer Support:Neutral|Refunds:Negative,3,delivery_delay,6,Customer Service,810.93,Gold,0.1,0,delivery_delay,0.45,Delivery Delay,1.0,0.7648791666666667,0.15,0.0,0.0,47.7,High,delivery_delay|customer_support|refund_problems
FB-0000122,CUST-005958,PROD-0037,chat,2024-01-01,"Pricing is fair, about what i'd expect.",pricing,pricing:neutral,neutral,neutral,1.0,Pricing:Neutral,1,pricing,8,Pricing,137.45,Bronze,0.28,0,pricing,0.35,Pricing,0.35,0.1913291666666666,0.28,0.0,0.0,22.8,Low,pricing
FB-0000011,CUST-004624,PROD-0016,support_ticket,2024-01-01,The app is smooth and easy to use.,app_performance,app_performance:positive,positive,positive,0.997,App/Website:Positive,1,app_performance,7,App Performance,89.47,Bronze,0.28,0,app_performance,0.5,App Performance,0.0,0.0434958333333333,0.28,0.0,0.0,14.9,Low,app_performance
FB-0000050,CUST-006838,PROD-0031,support_ticket,2024-01-01,"Packaging was flimsy and the box was crushed In addition, pricing is fair, about what I'd expect Also, really appreciated how patient the support team was.",packaging|pricing|customer_support,packaging:negative|pricing:neutral|customer_support:positive,negative,negative,0.948,Customer Support:Positive|Pricing:Neutral|Packaging:Negative,3,packaging,8,Pricing,293.57,Bronze,0.28,0,customer_support,0.55,Customer Service,0.948,0.4782375,0.42,0.0,0.0,48.2,High,customer_support|pricing|packaging
FB-0000023,CUST-001788,PROD-0074,survey,2024-01-01,"Payment processing took a bit longer than usual However, the website is painfully slow and glitchy Also, the product is about what I expected.",payment_issue_general|app_performance|product_quality,payment_issue_general:neutral|app_performance:negative|product_quality:neutral,neutral,neutral,0.945,Product Quality:Neutral|App/Website:Negative|Payment:Neutral,3,payment_issue_general,2,Payment Issues,682.63,Silver,0.18,0,product_quality,0.65,Product Quality,0.33075,0.7218916666666667,0.18,0.0,0.0,34.8,Medium,product_quality|app_performance|payment_issue_general
FB-0000015,CUST-000671,PROD-0148,support_ticket,2024-01-01,The website is painfully slow and glitchy.,app_performance,app_performance:negative,negative,negative,1.0,App/Website:Negative,1,app_performance,6,Customer Service,404.05,Silver,0.18,0,app_performance,0.5,App Performance,1.0,0.5694166666666667,0.27,0.0,0.0,47.6,High,app_performance
FB-0000026,CUST-005593,PROD-0098,chat,2024-01-01,"An okay experience overall, nothing stood out However, the package arrived right on time In addition, quality is average, nothing special.",general_satisfaction|delivery_delay|product_quality,general_satisfaction:neutral|delivery_delay:positive|product_quality:neutral,neutral,neutral,1.0,Delivery:Positive|Product Quality:Neutral,2,general_satisfaction,9,Product Quality,84.87,Bronze,0.28,0,delivery_delay,0.45,Delivery Delay,0.35,0.0329416666666666,0.28,0.0,0.0,22.4,Low,delivery_delay|product_quality|general_satisfaction
FB-0000019,CUST-005696,PROD-0090,survey,2024-01-01,Would love to see more size options for this item.,feature_request,feature_request:neutral,neutral,neutral,0.997,Feature Requests:Neutral,1,feature_request,5,Delivery Delay,131.64,Bronze,0.28,0,feature_request,0.1,Feature Requests,0.34895,0.1736375,0.28,0.0,0.0,17.5,Low,feature_request
FB-0000037,CUST-001181,PROD-0027,support_ticket,2024-01-01,"Payment processing took a bit longer than usual Also, shipping took the usual amount of time.",payment_issue_general|delivery_delay,payment_issue_general:neutral|delivery_delay:neutral,neutral,neutral,1.0,Delivery:Neutral|Payment:Neutral,2,payment_issue_general,2,Payment Issues,87.14,Bronze,0.28,0,delivery_delay,0.45,Delivery Delay,0.35,0.0375625,0.28,0.0,0.0,22.5,Low,delivery_delay|payment_issue_general
FB-0000044,CUST-006604,PROD-0062,support_ticket,2024-01-01,"Support answered but it took a while On top of that, really impressed with how well it's made.",customer_support|product_quality,customer_support:neutral|product_quality:positive,neutral,neutral,0.968,Product Quality:Positive|Customer Support:Neutral,2,customer_support,6,Customer Service,384.13,Bronze,0.28,0,product_quality,0.65,Product Quality,0.3388,0.553725,0.28,0.0,0.0,34.0,Medium,product_quality|customer_support
FB-0000123,CUST-003082,PROD-0081,review,2024-01-01,"Quality is average, nothing special.",product_quality,product_quality:neutral,neutral,neutral,1.0,Product Quality:Neutral,1,product_quality,9,Product Quality,151.3,Bronze,0.28,0,product_quality,0.65,Product Quality,0.35,0.2351583333333333,0.28,0.0,0.0,29.5,Medium,product_quality
FB-0000094,CUST-000371,PROD-0118,survey,2024-01-01,"Shipping was super quick In addition, the product is about what I expected.",delivery_delay|product_quality,delivery_delay:positive|product_quality:neutral,neutral,neutral,0.991,Delivery:Positive|Product Quality:Neutral,2,delivery_delay,3,Product Quality,115.33,Bronze,0.28,0,delivery_delay,0.45,Delivery Delay,0.34685,0.1174625,0.28,0.0,0.0,23.6,Low,delivery_delay|product_quality
FB-0000096,CUST-001785,PROD-0092,review,2024-01-01,"I keep getting logged out randomly on the app Also, shipping took the usual amount of time In addition, payment processing took a bit longer than usual.",app_performance|delivery_delay|payment_issue_general,app_performance:negative|delivery_delay:neutral|payment_issue_general:neutral,neutral,neutral,0.918,Delivery:Neutral|App/Website:Negative|Payment:Neutral,3,app_performance,2,Payment Issues,622.74,Silver,0.18,0,delivery_delay,0.45,Delivery Delay,0.3213,0.7009958333333334,0.18,0.0,0.0,30.2,Medium,delivery_delay|app_performance|payment_issue_general
FB-0000114,CUST-001633,PROD-0080,review,2024-01-01,Materials feel low grade for the price.,product_quality,product_quality:negative,negative,negative,1.0,Product Quality:Negative,1,product_quality,9,Product Quality,426.52,Silver,0.18,0,product_quality,0.65,Product Quality,1.0,0.588375,0.27,0.0,0.0,50.9,High,product_quality
FB-0000111,CUST-003952,PROD-0016,review,2024-01-01,Customer support never replied to my message.,customer_support,customer_support:negative,negative,negative,1.0,Customer Support:Negative,1,customer_support,6,Customer Service,2677.19,Platinum,0.05,0,customer_support,0.55,Customer Service,1.0,0.9431875,0.075,0.0,0.0,51.3,High,customer_support
FB-0000108,CUST-004047,PROD-0098,review,2024-01-01,"Refund process took the standard amount of time However, it broke after just a few uses.",refund_problems|product_quality,refund_problems:neutral|product_quality:negative,negative,negative,0.985,Product Quality:Negative|Refunds:Neutral,2,refund_problems,0,Packaging,196.78,Bronze,0.28,0,product_quality,0.65,Product Quality,0.985,0.3451583333333333,0.42,0.0,0.0,49.1,High,product_quality|refund_problems
FB-0000115,CUST-000144,PROD-0075,review,2024-01-01,A saved-payment-method feature would really help.,feature_request,feature_request:neutral,neutral,neutral,0.999,Feature Requests:Neutral,1,feature_request,2,Payment Issues,2971.51,Platinum,0.05,0,feature_request,0.1,Feature Requests,0.3496499999999999,0.9506041666666668,0.05,0.0,0.0,25.8,Medium,feature_request
FB-0000031,CUST-000510,PROD-0049,support_ticket,2024-01-01,"Refund process took the standard amount of time However, customer service was okay, nothing memorable.",refund_problems|customer_support,refund_problems:neutral|customer_support:neutral,neutral,neutral,1.0,Customer Support:Neutral|Refunds:Neutral,2,refund_problems,0,Packaging,920.15,Gold,0.1,0,customer_support,0.55,Customer Service,0.35,0.7884333333333333,0.1,0.0,0.0,33.1,Medium,customer_support|refund_problems
FB-0000072,CUST-002779,PROD-0108,survey,2024-01-01,"Support answered but it took a while But delivery arrived close to the estimated date However, the item wasn't protected well and got scratched in transit.",customer_support|delivery_delay|packaging,customer_support:neutral|delivery_delay:neutral|packaging:negative,neutral,neutral,0.903,Delivery:Neutral|Customer Support:Neutral|Packaging:Negative,3,customer_support,5,Delivery Delay,121.29,Bronze,0.28,0,delivery_delay,0.45,Delivery Delay,0.31605,0.1372625,0.28,0.0,0.0,23.2,Low,delivery_delay|customer_support|packaging
FB-0000010,CUST-000799,PROD-0141,review,2024-01-01,"Excellent discount made this a great deal In addition, customer support was fast and genuinely helpful.",pricing|customer_support,pricing:positive|customer_support:positive,positive,positive,1.0,Customer Support:Positive|Pricing:Positive,2,pricing,6,Customer Service,1747.23,Gold,0.1,0,customer_support,0.55,Customer Service,0.0,0.9024541666666668,0.1,0.0,0.0,26.0,Medium,customer_support|pricing
FB-0000076,CUST-007525,PROD-0059,support_ticket,2024-01-01,My payment failed twice before finally going through.,payment_issue_general,payment_issue_general:negative,negative,negative,1.0,Payment:Negative,1,payment_issue_general,2,Payment Issues,2570.48,Gold,0.1,0,payment_issue_general,0.7,Payment Issues,1.0,0.9396833333333332,0.15,0.0,0.0,55.3,High,payment_issue_general
FB-0000130,CUST-000402,PROD-0141,support_ticket,2024-01-01,"Refund process took the standard amount of time However, packaging was sturdy and beautifully presented.",refund_problems|packaging,refund_problems:neutral|packaging:positive,neutral,neutral,0.99,Refunds:Neutral|Packaging:Positive,2,refund_problems,0,Packaging,104.93,Bronze,0.28,0,refund_problems,0.75,Refund Problems,0.3465,0.0843458333333333,0.28,0.0,0.0,29.1,Medium,refund_problems|packaging
FB-0000032,CUST-000839,PROD-0001,survey,2024-01-01,"Overall a really great experience, will definitely order again But the product quality feels cheap and flimsy Also, refund process took the standard amount of time.",general_satisfaction|product_quality|refund_problems,general_satisfaction:positive|product_quality:negative|refund_problems:neutral,negative,negative,0.908,Product Quality:Negative|Refunds:Neutral,2,general_satisfaction,9,Product Quality,244.97,Bronze,0.28,0,product_quality,0.65,Product Quality,0.908,0.4264875,0.42,0.0,0.0,48.4,High,product_quality|refund_problems|general_satisfaction
FB-0000127,CUST-007955,PROD-0069,review,2024-01-01,"Delivery arrived close to the estimated date On top of that, my payment failed twice before finally going through On top of that, refund process took the standard amount of time.",delivery_delay|payment_issue_general|refund_problems,delivery_delay:neutral|payment_issue_general:negative|refund_problems:neutral,neutral,neutral,0.837,Delivery:Neutral|Refunds:Neutral|Payment:Negative,3,delivery_delay,5,Delivery Delay,1641.25,Gold,0.1,0,delivery_delay,0.45,Delivery Delay,0.29295,0.8942708333333333,0.1,0.0,0.0,31.2,Medium,delivery_delay|refund_problems|payment_issue_general
